ts_ms,ax,ay,az,gx,gy,gz,mx,my,mz
2894,9.758766,0.847547,-0.373495,-0.012923,0.008527,0.002798,-29.095261,45.592571,32.544697
2947,9.727641,0.881066,-0.330400,-0.020917,0.000000,0.006262,-26.095749,44.842693,33.294575
2999,9.773131,0.854730,-0.325611,-0.014389,0.007594,0.004530,-29.095261,45.142647,32.994625
3052,9.739613,0.854730,-0.325611,-0.019585,0.005462,0.006129,-29.395212,44.992672,33.444553
3105,9.744401,0.921768,-0.323217,-0.015988,0.003730,0.009459,-27.595505,44.842693,31.044943
3157,9.758766,0.909797,-0.316035,-0.014123,0.004130,0.006262,-28.345383,43.642891,33.744503
3210,9.224859,0.454898,0.378284,-0.137761,0.059554,-0.026247,-28.495358,45.442596,33.894478
3262,10.216059,1.012747,-0.217872,-0.018253,-0.013323,0.076075,-28.945284,44.242794,32.694675
3315,9.964667,0.718261,-0.562637,0.014389,-0.022783,0.219965,-27.745480,44.542744,32.394722
3367,9.950302,0.689530,-0.325611,-0.025314,0.010392,-0.002931,-29.695162,43.492916,31.194918
3420,9.761160,0.972046,-0.339977,-0.017054,0.000533,-0.043034,-27.745480,45.442596,31.944796
3472,9.710882,0.897826,-0.119710,-0.033574,-0.012923,-0.105119,-28.045431,44.392769,31.794821
3525,11.226412,1.154005,-0.907402,0.001199,0.014922,0.274723,-27.595505,45.592571,31.794821
3579,9.284714,0.938527,-0.280122,-0.023982,0.007861,0.009726,-28.945284,45.442596,31.944796
3633,10.388441,0.732626,-0.787692,0.070346,-0.079406,0.070346,-28.795309,44.392769,32.544697
3687,9.425972,0.833182,-0.241814,0.025714,-0.014256,0.009459,-28.045431,44.842693,31.794821
3741,9.531317,0.936133,-0.167594,-0.002931,0.034507,-0.107917,-28.495358,45.742550,33.144600
3795,9.325416,0.184354,-0.493206,0.001066,0.024248,-0.089931,-27.145578,46.042500,32.994625
3849,9.385271,0.553061,-0.909797,-0.007594,0.032109,-0.042634,-26.395700,44.392769,31.044943
3903,9.770737,0.854730,-0.332794,-0.019585,-0.020384,0.164008,-27.595505,45.142647,32.994625
3957,5.453991,-3.064578,-3.244143,0.059821,0.039436,0.072877,-28.795309,44.092815,32.994625
4010,9.246407,1.659182,0.141258,-0.094994,0.106585,-0.354795,-29.095261,44.842693,32.544697
4064,10.201694,1.338359,-0.349553,-0.110982,0.070746,0.039969,-28.045431,45.142647,31.794821
4118,10.160992,1.412579,-0.124498,-0.032242,0.028112,-0.035440,-27.145578,45.592571,33.294575
4172,9.983821,0.735020,-0.114922,-0.040636,0.009726,-0.000533,-25.795797,45.442596,32.694675
4226,9.732430,0.926556,-0.280122,-0.022516,0.006528,0.041968,-28.495358,43.042988,32.394722
4280,9.828198,0.909797,-0.282516,-0.025181,0.010525,-0.005596,-28.495358,45.742550,31.944796
4334,9.696517,0.766145,-0.189142,-0.014922,0.011724,-0.007994,-28.195406,45.442596,32.694675
4388,9.768343,0.916979,-0.282516,-0.023449,0.012391,-0.009859,-27.595505,44.392769,31.794821
4442,9.785102,0.888249,-0.265756,-0.015588,0.005995,0.011591,-28.195406,44.542744,32.394722
4495,9.785102,0.895431,-0.251391,-0.016254,0.007861,0.007461,-28.945284,44.992672,31.944796
4549,9.809045,0.900220,-0.272939,-0.015588,0.009593,0.000000,-28.045431,46.042500,31.794821
4604,9.708488,0.888249,-0.256180,-0.013057,0.009726,0.007461,-27.445528,45.442596,31.644844
4658,9.794679,0.840365,-0.306458,-0.013590,0.004930,0.003997,-26.995602,43.792866,32.394722
4711,9.538500,0.792481,-0.447716,-0.004130,0.014522,-0.004263,-28.495358,43.792866,33.894478
4765,9.746795,0.842759,-0.268151,-0.017986,0.008793,0.000799,-27.745480,44.242794,32.694675
4819,9.835381,0.893037,-0.251391,-0.013323,0.001332,-0.000666,-29.545187,44.392769,34.044453
4873,11.274296,1.137246,0.203507,0.035306,-0.124704,0.155214,-28.345383,45.142647,32.244747
4927,9.794679,0.837971,-0.347159,-0.018119,-0.003064,0.046631,-28.945284,46.192474,32.694675
4981,9.765948,0.792481,-0.280122,0.003730,-0.010792,-0.018519,-28.945284,44.992672,32.694675
5034,9.739613,0.864307,-0.148441,0.001599,0.011991,0.029977,-29.095261,43.192963,32.994625
5088,10.967838,-2.573767,-0.411803,-0.169870,-0.482830,0.340672,-28.795309,44.092815,33.294575
5141,9.607931,-0.823605,-0.694318,-0.455651,-0.055957,0.033708,-29.695162,42.593060,33.894478
5194,11.092337,0.359130,0.586579,-0.251940,-0.046764,0.008660,-27.445528,44.242794,32.694675
5249,11.190498,-1.414973,-0.174777,-0.139626,0.201979,-0.022516,-28.495358,44.242794,33.444553
5303,9.629479,0.143652,-0.861913,0.145888,0.192119,0.199980,-29.095261,45.142647,33.744503
