Detector initialised with dip=0.5 peak=4.5
Starting ADS1115...
Running. Press Enter to stop.
0.282321
GREEN
0.284696
0.283196
0.285759
0.283134
0.285259
0.283071
0.284134
0.284071
0.285009
0.284446
0.282884
0.285196
0.282509
0.285259
0.283384
0.285071
0.282509
0.284759
0.283634
0.284384
0.284321
0.283634
0.283821
0.282884
0.285259
0.283071
0.285384
0.282946
0.284446
0.282759
0.284759
0.283821
0.284259
0.284009
0.283259
0.284259
0.283134
0.285321
0.283009
0.284946
0.282759
0.284946
0.283259
0.284634
0.283821
0.283696
0.284009
0.283259
0.284759
0.283321
0.285134
0.282634
0.284821
0.282946
0.284884
0.283321
0.284259
0.283634
0.283446
0.284384
0.283321
0.284759
0.282821
0.284696
0.282509
0.284821
0.282946
0.284384
0.283009
0.283759
0.283634
0.283321
0.284384
0.282759
0.284384
0.282384
0.284509
0.282509
0.284571
0.282634
0.283884
0.283009
0.283509
0.283821
0.282946
0.284071
0.282259
0.284259
0.282321
0.284571
0.282384
0.284196
0.282509
0.283696
0.283196
0.283196
0.283759
0.282509
0.283946
0.282196
0.284384
0.282259
0.284259
0.282259
0.283946
0.282759
0.283571
0.283384
0.282946
0.283821
0.282446
0.284321
0.282384
0.284509
0.282134
0.284259
0.282446
0.284009
0.283009
0.283446
0.283509
0.282884
0.284009
0.282571
0.284446
0.282321
0.284446
0.282384
0.284321
0.282759
0.283884
0.283196
0.283259
0.283759
0.282821
0.284196
0.282509
0.284446
0.282321
0.284446
0.282509
0.284259
0.282884
0.283759
0.283259
0.283134
0.283821
0.282696
0.284321
0.282384
0.284384
0.282321
0.284321
0.282571
0.283946
0.282946
0.283509
0.283384
0.282946
0.284009
0.282571
0.284259
0.282259
0.284384
0.282321
0.284321
0.282571
0.283821
0.283071
0.283384
0.283696
0.282759
0.284071
0.282384
0.284259
0.282196
0.284384
0.282321
0.284134
0.282696
0.283634
0.283196
0.283196
0.283759
0.282634
0.284134
0.282259
0.284384
0.282196
0.284321
0.282384
0.283946
0.282759
0.283571
0.283321
0.282946
