ts_ms,ax,ay,az,gx,gy,gz,mx,my,mz
826,0.984017,9.560047,0.986411,-0.005729,0.003464,0.006662,15.447483,55.191010,5.399120
830,0.991199,9.516952,1.051055,-0.009193,0.003730,0.005596,17.397165,56.090862,7.648754
833,1.063026,9.540894,1.012747,-0.009992,0.005462,0.004263,17.397165,56.090862,7.648754
837,1.027112,9.493010,1.065420,-0.005462,0.002398,0.005329,17.397165,56.090862,7.648754
840,1.019930,9.521740,1.003170,-0.013590,0.005063,0.004130,17.397165,56.090862,7.648754
844,0.967257,9.502586,1.029507,-0.001865,0.004130,0.003864,17.397165,56.090862,7.648754
847,1.089362,9.457097,0.998382,-0.008527,0.004130,0.003064,17.997068,55.041035,6.748900
851,0.993594,9.483433,0.995988,-0.010126,0.006129,0.001865,17.997068,55.041035,6.748900
906,1.010353,9.488221,1.034295,-0.004130,0.003730,0.003064,17.097216,55.191010,6.448949
909,0.993594,9.524135,0.998382,-0.009193,0.005329,0.003464,17.247190,56.240837,6.298974
913,0.981623,9.526528,1.074997,-0.007861,0.006528,0.002798,17.247190,56.240837,6.298974
916,1.000776,9.485827,1.031901,-0.003198,0.003730,0.005995,17.247190,56.240837,6.298974
920,0.964863,9.588778,0.991199,-0.010525,0.006528,0.003464,17.097216,56.390812,4.649242
923,1.051055,9.495404,1.012747,-0.004796,0.004796,0.006528,17.097216,56.390812,4.649242
927,1.027112,9.488221,1.000776,-0.009593,0.004663,0.002265,17.097216,56.390812,4.649242
930,1.007959,9.531317,0.964863,-0.011991,0.001599,0.006928,17.997068,55.490959,5.999022
934,1.022324,9.452309,0.974440,-0.010259,0.004663,0.001599,17.997068,55.490959,5.999022
937,1.048660,9.512163,0.948104,-0.009326,0.004930,0.002665,16.197361,57.590618,6.898876
941,1.019930,9.564836,1.017536,-0.006395,0.003464,0.003464,16.197361,57.590618,6.898876
944,1.048660,9.531317,1.003170,-0.009992,0.008260,0.001865,16.197361,57.590618,6.898876
948,1.031901,9.552865,1.063026,-0.006662,0.001998,0.006262,17.097216,56.390812,5.399120
952,1.010353,9.495404,1.017536,-0.008926,0.003331,0.007861,17.097216,56.390812,5.399120
955,1.022324,9.545682,1.022324,-0.008926,0.007194,0.006395,17.097216,56.390812,5.399120
1064,1.063026,9.478644,0.931344,-0.009859,0.001199,0.008394,17.397165,56.390812,5.699071
1068,1.027112,9.536105,0.969652,-0.002665,0.000000,0.007727,17.397165,56.390812,5.699071
1071,0.993594,9.591172,1.046266,-0.008127,0.003597,0.006528,17.397165,56.390812,5.699071
1074,0.967257,9.440337,1.010353,-0.003730,0.008793,0.000000,17.397165,56.390812,5.699071
1077,0.957681,9.500193,1.055843,-0.006262,0.004263,0.007594,17.397165,56.390812,5.699071
1081,1.027112,9.512163,0.981623,-0.006928,0.004530,-0.002931,18.147043,56.090862,5.699071
1085,1.039083,9.457097,1.015141,-0.003198,0.001998,0.003464,18.147043,56.090862,5.699071
1088,0.976834,9.471462,0.988805,-0.010792,0.009726,0.007861,17.397165,55.191010,7.198827
1092,1.041478,9.481039,1.005565,-0.008260,0.000533,0.001199,17.397165,55.191010,7.198827
1095,1.079785,9.509769,1.022324,-0.005729,0.006528,0.003198,17.397165,55.191010,7.198827
1099,1.077391,9.464279,1.017536,-0.007727,0.004663,0.009060,16.647287,58.040546,6.148998
1102,1.055843,9.512163,1.031901,-0.007194,0.002798,0.006129,16.647287,58.040546,6.148998
1106,1.031901,9.473856,1.058237,-0.011591,0.006129,0.005329,16.647287,58.040546,6.148998
1110,1.010353,9.536105,1.053449,-0.005862,0.003198,0.003464,17.847092,57.140690,5.399120
1113,1.012747,9.471462,1.019930,-0.004930,0.002531,0.007328,17.847092,57.140690,5.399120
1197,1.017536,9.490616,0.991199,-0.007061,0.002798,0.001998,17.847092,55.640934,6.148998
1201,0.991199,9.528923,1.048660,-0.010792,0.003597,0.000533,17.847092,55.640934,6.148998
1204,0.988805,9.550470,0.964863,-0.007861,0.002798,0.004930,17.847092,55.640934,6.148998
1208,1.034295,9.437943,0.979228,-0.013590,0.001199,0.003064,17.847092,55.640934,6.148998
1211,0.933739,9.509769,1.019930,-0.006928,0.003997,0.003198,17.397165,55.640934,6.148998
1215,0.976834,9.531317,0.993594,-0.007594,0.010792,-0.000266,17.397165,55.640934,6.148998
1218,1.012747,9.500193,0.955287,-0.009459,0.003730,-0.001066,17.397165,55.640934,6.148998
1222,1.022324,9.526528,1.012747,-0.006795,0.004930,0.000000,17.397165,55.640934,6.148998
1226,0.969652,9.445126,1.010353,-0.011991,0.004397,0.005196,17.397165,55.640934,6.148998
1230,1.039083,9.560047,1.005565,-0.004530,0.001466,0.007461,17.547142,56.240837,6.298974
1234,0.974440,9.454702,1.000776,-0.003864,0.003198,0.004263,17.547142,56.240837,6.298974
1238,0.976834,9.526528,1.003170,-0.008527,0.009859,0.004130,17.547142,56.240837,6.298974
1241,1.010353,9.502586,0.993594,-0.004130,0.003864,0.005329,17.547142,56.240837,6.298974
1245,1.031901,9.512163,1.039083,-0.007328,0.004530,0.002665,17.547142,56.240837,6.298974
1249,0.979228,9.550470,0.998382,-0.009060,0.007461,0.008394,17.097216,54.891056,6.898876
1342,0.952892,9.495404,1.000776,-0.009593,0.001998,0.000400,16.647287,57.140690,6.148998
